GAL_ID,GROUP_ID
310426,1
310438,1
310440,1
310444,1
310465,1
310469,1
310505,1
310509,1
310510,1
310515,1
310520,1
310531,1
310540,1
310541,1
310546,1
310548,1
310552,1
310553,1
310554,1
310567,1
310569,1
310571,1
310581,1
310585,1
310587,1
310598,1
310606,1
310610,1
310613,1
310614,1
310618,1
310622,1
310626,1
310629,1
310630,1
310637,1
310638,1
310640,1
310642,1
310647,1
310648,1
310651,1
310652,1
310657,1
310659,1
310662,1
310663,1
310664,1
310665,1
310673,1
310677,1
310684,1
310686,1
310689,1
310690,1
310693,1
310695,1
310720,1
310722,1
310724,1
310725,1
310726,1
310731,1
310734,1
310740,1
310745,1
310746,1
310747,1
310749,1
310752,1
310753,1
310755,1
310760,1
310765,1
310767,1
310777,1
310781,1
310784,1
310794,1
310810,1
310815,1
310816,1
310819,1
310823,1
310824,1
310830,1
310864,1
310875,1
310895,1
74224,2
74239,2
74253,2
74255,2
74256,2
74267,2
74278,2
74289,2
74297,2
74298,2
74318,2
74319,2
74320,2
74321,2
74329,2
74337,2
74338,2
74339,2
74341,2
74342,2
74343,2
74344,2
74346,2
74357,2
74359,2
74366,2
74367,2
74395,2
74396,2
74397,2
74405,2
74406,2
74407,2
74408,2
74409,2
74415,2
74416,2
74417,2
74419,2
74420,2
74426,2
74429,2
74430,2
74431,2
74433,2
74434,2
74435,2
74436,2
74440,2
74441,2
74443,2
74454,2
74455,2
74466,2
74468,2
74479,2
74480,2
74485,2
74495,2
74510,2
74511,2
74520,2
74553,2
314815,3
314839,3
314861,3
314862,3
314869,3
314870,3
314872,3
314882,3
314883,3
314895,3
314896,3
314897,3
314898,3
314899,3
314900,3
314911,3
314913,3
314918,3
314919,3
314920,3
314921,3
314922,3
314923,3
314931,3
314932,3
314934,3
314935,3
314936,3
314938,3
314939,3
314940,3
314948,3
314949,3
314951,3
314952,3
314953,3
314955,3
314965,3
314966,3
314967,3
314968,3
314971,3
314972,3
314985,3
314986,3
314989,3
314997,3
314998,3
315011,3
315013,3
315032,3
315033,3
315040,3
315050,3
315052,3
315071,3
315085,3
315093,3
315102,3
241112,4
309614,4
309635,4
309640,4
309645,4
309646,4
309671,4
309673,4
309685,4
309686,4
309697,4
309699,4
309710,4
309727,4
309731,4
309745,4
309746,4
309749,4
309754,4
309757,4
309764,4
309773,4
309789,4
309791,4
309792,4
309793,4
309805,4
309810,4
309821,4
309841,4
309843,4
309847,4
309858,4
309859,4
309860,4
309864,4
309878,4
309890,4
309891,4
309894,4
309896,4
309901,4
309905,4
309913,4
309918,4
309928,4
309946,4
309947,4
309977,4
309978,4
309982,4
309987,4
309988,4
309991,4
310007,4
310046,4
310050,4
241459,5
241461,5
241475,5
241485,5
241486,5
241490,5
241494,5
241505,5
241508,5
241510,5
241517,5
241525,5
241531,5
241539,5
241546,5
241547,5
241548,5
241551,5
241552,5
241553,5
241554,5
241555,5
241556,5
241560,5
241561,5
241563,5
241566,5
241569,5
241577,5
241579,5
241593,5
241596,5
241597,5
241598,5
241604,5
241606,5
241607,5
241608,5
241610,5
241623,5
241624,5
241626,5
241630,5
241631,5
241640,5
241651,5
241661,5
241665,5
241666,5
241667,5
241672,5
241677,5
241686,5
241694,5
241720,5
241732,5
128817,6
128841,6
128900,6
128927,6
128939,6
128951,6
128958,6
128999,6
129006,6
129014,6
129016,6
129021,6
129026,6
129029,6
129031,6
129034,6
129039,6
129042,6
129043,6
129046,6
129051,6
129053,6
129062,6
129070,6
129071,6
129072,6
129076,6
129091,6
129099,6
129105,6
129107,6
129109,6
129119,6
129123,6
129124,6
129136,6
129141,6
129143,6
129145,6
129160,6
129172,6
129176,6
129184,6
129188,6
129209,6
129216,6
129217,6
129220,6
129228,6
129250,6
129255,6
129268,6
129288,6
129308,6
129313,6
112282,7
112284,7
112285,7
112287,7
112289,7
112297,7
112299,7
112303,7
112308,7
112312,7
112313,7
112314,7
112315,7
112316,7
112317,7
112320,7
112321,7
112322,7
112323,7
112324,7
112330,7
112331,7
112333,7
112334,7
112338,7
112342,7
112349,7
112350,7
112351,7
112352,7
112363,7
112364,7
112365,7
112366,7
112368,7
112372,7
112381,7
112387,7
112388,7
112390,7
112397,7
112401,7
112414,7
112423,7
112427,7
117561,7
117562,7
117569,7
117595,7
117596,7
117597,7
117603,7
117608,7
287426,8
287430,8
287443,8
287459,8
287508,8
287511,8
287519,8
287527,8
287530,8
287533,8
287544,8
287552,8
287555,8
287567,8
287571,8
287574,8
287580,8
287585,8
287586,8
287589,8
287599,8
287602,8
287605,8
287612,8
287619,8
287620,8
287641,8
287645,8
287647,8
287650,8
287653,8
287657,8
287661,8
287662,8
287677,8
287684,8
287687,8
287701,8
287727,8
287729,8
287749,8
287750,8
287763,8
287770,8
287788,8
287818,8
287833,8
287838,8
287842,8
287891,8
287950,8
287985,8
61640,9
61690,9
61691,9
61707,9
61708,9
61709,9
61710,9
61722,9
61735,9
61736,9
61737,9
61749,9
61752,9
61758,9
61759,9
61760,9
61765,9
61772,9
61773,9
61775,9
61776,9
61783,9
61784,9
61785,9
61786,9
61787,9
61797,9
61798,9
61800,9
61806,9
61808,9
61810,9
61818,9
61824,9
61825,9
61827,9
61844,9
61845,9
61859,9
61863,9
61867,9
61868,9
61875,9
61876,9
61881,9
61895,9
61896,9
61913,9
61914,9
61935,9
61950,9
169371,10
169419,10
169478,10
169507,10
169517,10
169520,10
169547,10
169549,10
169571,10
169579,10
169582,10
169586,10
169589,10
169608,10
169621,10
169624,10
169625,10
169631,10
169633,10
169637,10
169644,10
169647,10
169652,10
169668,10
169669,10
169680,10
169681,10
169686,10
169696,10
169700,10
169709,10
169711,10
169727,10
169732,10
169738,10
169748,10
169768,10
169770,10
169788,10
169801,10
169804,10
169805,10
169813,10
169815,10
169830,10
169858,10
169869,10
169912,10
169916,10
292278,11
292330,11
292347,11
292360,11
292363,11
292367,11
292372,11
292406,11
292412,11
292424,11
292426,11
292468,11
292482,11
292483,11
292499,11
292506,11
292509,11
292510,11
292517,11
292518,11
292529,11
292535,11
292539,11
292544,11
292546,11
292559,11
292562,11
292568,11
292569,11
292572,11
292578,11
292588,11
292589,11
292591,11
292593,11
292602,11
292605,11
292606,11
292607,11
292611,11
292619,11
292623,11
292625,11
292644,11
292664,11
292691,11
292696,11
315606,12
315622,12
315623,12
315631,12
315632,12
315646,12
315652,12
315660,12
315672,12
315673,12
315674,12
315700,12
315701,12
315703,12
315711,12
315712,12
315719,12
315726,12
315728,12
315731,12
315735,12
315745,12
315748,12
315749,12
315750,12
315758,12
315762,12
315771,12
315773,12
315774,12
315775,12
315783,12
315784,12
315804,12
315806,12
315817,12
315827,12
315828,12
315831,12
315835,12
315854,12
315860,12
315863,12
315864,12
315865,12
315887,12
306039,13
306053,13
306054,13
306065,13
306066,13
306071,13
306072,13
306073,13
